id,out,in,all,bins,unique,,
17776,1,1,2,1,1,475,475
5578,3,19,22,2,2,597,1194
1835,46,76,122,3,3,634,1902
14790,1,8,9,4,4,683,2732
8606,8,41,49,5,5,655,3275
12376,2,0,2,6,6,664,3984
13981,7,23,30,7,7,661,4627
17378,2,4,6,8,8,585,4680
14371,12,1,13,9,9,604,5436
9504,5,1,6,10,10,553,5530
5072,14,4,18,20,11,521,5731
1523,10,58,68,30,12,485,5820
3382,3,5,8,40,13,411,5343
2300,31,51,82,50,14,404,5656
402,3,0,3,100,15,425,6375
3423,19,4,23,200,16,377,6032
11385,9,1,10,300,17,328,5576
6198,2,73,75,400,18,353,6354
2235,31,74,105,500,19,316,6004
11494,14,8,22,600,20,284,5680
3409,4,4,8,700,21,291,6111
8675,1,1,2,800,22,273,6006
8181,22,29,51,,23,230,5290
14890,4,9,13,,24,231,5544
4243,19,4,23,,25,235,5875
8193,5,22,27,,26,209,5434
15647,20,11,31,,27,222,5994
930,26,106,132,,28,202,5656
16323,4,2,6,,29,209,6061
8351,4,0,4,,30,161,4830
13502,2,9,11,,31,180,5580
29,13,6,19,,32,168,5376
10707,5,11,16,,33,141,4653
15871,3,2,5,,34,158,5372
14343,2,1,3,,35,133,4655
1732,38,22,60,,36,109,3924
9185,4,2,6,,37,104,3848
590,2,7,9,,38,114,4332
10421,5,18,23,,39,115,4485
8701,31,19,50,,40,127,5080
3174,10,19,29,,41,118,4838
16339,6,0,6,,42,92,3864
12287,7,0,7,,43,97,4171
15556,1,8,9,,44,96,4224
10189,5,10,15,,45,93,4185
6826,30,3,33,,46,90,4140
17291,5,3,8,,47,85,3995
7511,2,13,15,,48,76,3648
13242,108,6,114,,49,79,3871
3633,3,0,3,,50,80,4000
11175,4,8,12,,51,71,3621
1408,210,12,222,,52,66,3432
16773,2,4,6,,53,72,3816
1443,4,8,12,,54,53,2862
2593,5,3,8,,55,63,3465
1962,42,8,50,,56,60,3360
5653,30,11,41,,57,42,2394
1404,24,6,30,,58,46,2668
6131,8,173,181,,59,56,3304
14311,1,2,3,,60,53,3180
6857,13,15,28,,61,49,2989
3264,146,0,146,,62,53,3286
15227,5,4,9,,63,61,3843
16007,66,8,74,,64,47,3008
7542,24,48,72,,65,41,2665
1010,5,28,33,,66,44,2904
7268,2,1,3,,67,26,1742
8439,5,25,30,,68,50,3400
5994,2,34,36,,69,48,3312
4582,15,2,17,,70,35,2450
7708,9,8,17,,71,39,2769
871,15,8,23,,72,39,2808
2097,4,5,9,,73,30,2190
5778,4,2,6,,74,46,3404
9608,5,2,7,,75,51,3825
7405,16,0,16,,76,31,2356
14121,1,0,1,,77,40,3080
10017,2,2,4,,78,24,1872
6258,2,265,267,,79,33,2607
17428,1,1,2,,80,31,2480
369,15,12,27,,81,34,2754
